,play_id,play_type,play_description,play_description_short,away_score,home_score,quarter,seconds_remaining_in_quarter,clock_display_value,scoring_play,play_score_value,posteam,start_down,start_yards_to_go,start_yards_to_endzone,end_down,end_yards_to_go,end_yards_to_endzone,yards_gained
175,4013263174463,Pass Reception,(:47) (Shotgun) J.Goff pass deep left to A.St. Brown pushed ob at 50 for 20 yards (D.Johnson).,Jared Goff  Pass Complete for 20 Yrds to Amon-Ra St. Brown,41,33,4,47.0,0:47,False,0,DET,2,10,70,1,10,50,20
176,4013263174492,Pass Incompletion,(:42) (Shotgun) J.Goff pass incomplete deep left to Q.Cephus.,"Jared Goff Incomplete Pass, Int'd For Quintez Cephus",41,33,4,42.0,0:42,False,0,DET,1,10,50,2,10,50,0
177,4013263174514,Pass Reception,(:37) (Shotgun) J.Goff pass deep middle to K.Raymond to SF 25 for 25 yards (J.Ward).,Jared Goff  Pass Complete for 25 Yrds to Kalif Raymond,41,33,4,37.0,0:37,False,0,DET,2,10,50,1,10,25,25
178,4013263174538,Timeout,Timeout #3 by DET at 00:32.,Timeout #3 DET,41,33,4,34.0,0:34,False,0,DET,1,10,25,1,10,25,0
179,4013263174555,Pass Incompletion,(:32) (Shotgun) J.Goff pass incomplete short left. Ball thrown away.,"Jared Goff Incomplete Pass, Int'd For",41,33,4,32.0,0:32,False,0,DET,1,10,25,2,10,25,0
180,4013263174581,Rush,(:27) (Shotgun) J.Goff scrambles right end pushed ob at SF 24 for 1 yard (A.Armstead).,Jared Goff 1 Yrd Rush,41,33,4,27.0,0:27,False,0,DET,2,10,25,3,9,24,1
181,4013263174607,Pass Incompletion,(:20) (Shotgun) J.Goff pass incomplete short right to Q.Cephus (A.Al-Shaair).,"Jared Goff Incomplete Pass, Int'd For Quintez Cephus",41,33,4,20.0,0:20,False,0,DET,3,9,24,4,9,24,0
182,4013263174629,Pass Incompletion,(:17) (Shotgun) J.Goff pass incomplete short left to A.St. Brown [S.Ebukam].,"Jared Goff Incomplete Pass, Int'd For Amon-Ra St. Brown",41,33,4,17.0,0:17,False,0,DET,4,9,76,1,10,76,0
183,4013263174651,Rush,(:12) J.Garoppolo kneels to SF 23 for -1 yards.,"Jimmy Garoppolo Rush , Loss of 1 Yrd",41,33,4,12.0,0:12,False,0,SF,1,10,76,2,11,77,-1
184,4013263174672,End of Game,END GAME,End Quarter 4,41,33,4,0.0,0:00,False,0,N/A,0,0,0,2,11,77,0
